"regulatoryGene" "targetGene" "weight"
"Aldoc" "C2cd2l" 0.66297648875126
"Aldoc" "Rpl13.ps1" 0.662949294618349
"Agpat5" "Jdp2" 0.662813676296458
"Agpat5" "Fam49a" 0.662693159149194
"Aldoc" "Sh3gl3" 0.662495234800308
"Agpat5" "Cd48" 0.662387943999035
"Agpat5" "Gm16230" 0.662196749714302
"Aldoc" "Ssh3" 0.661869374044389
"Agpat5" "Nckap1l" 0.661864737516495
"Agpat5" "Gpr35" 0.661798686057441
"Agpat5" "Rpl13" 0.661705453575359
"Agpat5" "Hist1h2aj" 0.661562130129989
"Agpat5" "Gal3st2" 0.661561776443634
"Agpat5" "Mgme1" 0.661521282888808
"Aldoc" "Gm15892" 0.661302843369969
"Agpat5" "X2610318N02Rik" 0.661240025439314
"Agpat5" "Itga4" 0.661207286526793
"Agpat5" "Pramef8" 0.6610392473999
"Agpat5" "Elovl7" 0.660895765841223
"Aldoc" "Ppia" 0.660811478135416
"Agpat5" "X2810442I21Rik" 0.660777308861108
"Aldoc" "Gm17146" 0.660512087089148
"Aldoc" "Adra2c" 0.660272968297656
"Agpat5" "Nbn" 0.660144684010359
"Agpat5" "Imp3" 0.659884787191818
"Agpat5" "Cnga4" 0.659851556619188
"Agpat5" "X1700123I01Rik" 0.659692327384651
"Aldoc" "Tgfbrap1" 0.659474070855155
"Agpat5" "Bcl2a1d" 0.659445720251474
"Agpat5" "X1700001L19Rik" 0.659353648264137
"Agpat5" "Plscr5" 0.659307311759418
"Aldoc" "X1520401A03Rik" 0.659290794318581
"Agpat5" "Fktn" 0.659228856525346
"Agpat5" "Ccl22" 0.658845099006176
"Aldoc" "Anp32a" 0.658782195608965
"Agpat5" "Znrf1" 0.658630174013899
"Agpat5" "Gstm3" 0.658628392147808
"Aldoc" "X2310014F06Rik" 0.658310388982099
"Agpat5" "Fcrls" 0.658308799070663
"Agpat5" "Plekhg4" 0.658234867347319
"Agpat5" "Urod" 0.658213690471278
"Agpat5" "Hoxb8" 0.658199608618339
"Aldoc" "Gm10145" 0.658176510607694
"Agpat5" "Agps" 0.658141901387774
"Agpat5" "Tgfb2" 0.658105315171815
"Aldoc" "Gm11795" 0.658045328945492
"Agpat5" "Zfp36l1" 0.658030139849867
"Aldoc" "Gm5627" 0.658019856138654
"Agpat5" "Rtn4" 0.65777530926302
"Agpat5" "Actl6b" 0.657772093187877
"Agpat5" "Cd300lf" 0.65762176695351
"Agpat5" "Fgr" 0.65757904568553
"Agpat5" "Pld4" 0.657513883786744
"Agpat5" "Phactr2" 0.657346756324498
"Agpat5" "Tnc" 0.657303647882019
"Aldoc" "Pacs1" 0.657282672936924
"Aldoc" "X1700001P01Rik" 0.657261456660712
"Agpat5" "Gm14052" 0.657203695122769
"Aldoc" "X4833422M21Rik" 0.656884493916003
"Aldoc" "A930001A20Rik" 0.656859750838898
"Agpat5" "Insrr" 0.656659112774637
"Agpat5" "Kif21b" 0.656518243680827
"Agpat5" "Trmt112" 0.656470923471915
"Agpat5" "Cd97" 0.656467269751975
"Agpat5" "Begain" 0.656435248493323
"Agpat5" "Tomm40l" 0.656396744662896
"Agpat5" "Med25" 0.656184836625731
"Aldoc" "Gm4468" 0.656181325417805
"Agpat5" "Ncf1" 0.656107972891235
"Agpat5" "Ptchd1" 0.655526160937483
"Agpat5" "Tmem130" 0.655370804300653
"Agpat5" "Caap1" 0.655292598879497
"Agpat5" "Gm22009" 0.655157679241417
"Agpat5" "Bfsp2" 0.655078510665982
"Agpat5" "Igkv7.33" 0.65503004882489
"Aldoc" "Gm15464" 0.654972529344395
"Aldoc" "Ankrd29" 0.654899699604923
"Aldoc" "Lmnb1" 0.654863336101286
"Agpat5" "Slc8a1" 0.654810828175211
"Agpat5" "Anp32b.ps1" 0.654806828208383
"Agpat5" "Gadd45b" 0.65475417242997
"Aldoc" "Kbtbd7" 0.654713429211367
"Agpat5" "Il4ra" 0.654608492546091
"Agpat5" "Gramd1c" 0.654531722483248
"Agpat5" "Tm6sf1" 0.65447673184032
"Agpat5" "Itgb2" 0.65422930994048
"Aldoc" "Pon3" 0.654167947621797
"Agpat5" "Lair1" 0.654138454455339
"Agpat5" "Gm20427" 0.653973589291797
"Aldoc" "Gm10071" 0.653774931805044
"Aldoc" "Xirp2" 0.653669337785789
"Agpat5" "Gm16379" 0.653633820676571
"Agpat5" "Hip1" 0.653582877540712
"Aldoc" "Atxn7" 0.653456716510896
"Aldoc" "Gm11883" 0.653366109910398
"Agpat5" "Ugt8a" 0.653304775606245
"Agpat5" "Ms4a4c" 0.653076133895344
"Agpat5" "Ms4a6c" 0.652741995270793
"Agpat5" "Pdk3" 0.652672709355373
"Aldoc" "Ptprh" 0.652631595623323
"Agpat5" "Tlr8" 0.65254554759885
"Aldoc" "Olfr1031" 0.65244530364786
"Agpat5" "X3632454L22Rik" 0.652438233124527
"Agpat5" "Fyb" 0.652171298501379
"Aldoc" "Tmem241" 0.652078376393365
"Aldoc" "Arhgap21" 0.652065175140686
"Aldoc" "Cyld" 0.65205412351251
"Aldoc" "Oit1" 0.652027801028445
"Agpat5" "Mup.ps15" 0.651755356971786
"Agpat5" "Nudt14" 0.651669803203672
"Agpat5" "Fam177a" 0.6515378086799
"Agpat5" "Slc1a6" 0.651512265374985
"Agpat5" "Zfp781" 0.651471431853555
"Agpat5" "Slc1a5" 0.651456756747785
"Aldoc" "X4732463B04Rik" 0.651354196215548
"Aldoc" "Fuca1" 0.651213577994586
"Agpat5" "Sla" 0.651180515068771
"Aldoc" "Pop4" 0.651149598395529
"Aldoc" "Abcb9" 0.651083679553652
"Agpat5" "Ms4a7" 0.651078320692165
"Agpat5" "Dock2" 0.651031116202634
"Aldoc" "Gm10785" 0.650898116758287
"Agpat5" "Tlr13" 0.650763267590919
"Agpat5" "Gm16276" 0.650729224208514
"Agpat5" "Adam15" 0.650655224811625
"Aldoc" "Plcxd3" 0.65062560218599
"Aldoc" "Rpl7a.ps9" 0.650508800232876
"Aldoc" "Gm13179" 0.650433793616233
"Aldoc" "Uck1" 0.650112943054115
"Aldoc" "Gm15999" 0.649909774447531
"Aldoc" "X1110004F10Rik" 0.649628949117366
"Aldoc" "Gm15739" 0.649619366689649
"Agpat5" "Serpine1" 0.649549502947718
"Agpat5" "Gm16093" 0.649369621317405
"Aldoc" "Cep55" 0.649299798335114
"Aldoc" "Dpm2" 0.64929281525142
"Aldoc" "X2610020H08Rik" 0.649285960918255
"Aldoc" "Alkbh3" 0.649148370058203
"Aldoc" "Prpf18" 0.64914328952651
"Agpat5" "Ucp2" 0.649138609798044
"Agpat5" "Gm23722" 0.649114749562941
"Agpat5" "Srpk3" 0.64893059965249
"Aldoc" "Gstt4" 0.648900935494847
"Aldoc" "Gm5601" 0.648886761901266
"Aldoc" "Gm14202" 0.648871991113487
"Agpat5" "Abcg8" 0.648863591535781
"Agpat5" "Laptm5" 0.648858626016128
"Aldoc" "Csrp2bp" 0.648853378554903
"Agpat5" "Ccdc69" 0.648835972724503
"Aldoc" "Exosc4" 0.648825893977186
"Agpat5" "Pip4k2a" 0.648817748998209
"Agpat5" "Gm6430" 0.648771418924137
"Aldoc" "Gm17473" 0.648744999338912
"Aldoc" "Vars" 0.648711422564498
"Agpat5" "Zfp775" 0.64860479762757
"Agpat5" "Fam126a" 0.648592830916114
"Aldoc" "B3gat3" 0.648560044418901
"Aldoc" "C030039L03Rik" 0.648489663627712
"Aldoc" "Nab2" 0.648471930636152
"Agpat5" "Acads" 0.648304207915553
"Agpat5" "Ncoa7" 0.648233230066551
"Agpat5" "Abca5" 0.648011420241038
"Aldoc" "Rwdd1" 0.647944001763718
"Aldoc" "A330102I10Rik" 0.647841484489068
"Agpat5" "Zdhhc15" 0.647797047473353
"Agpat5" "Hcls1" 0.647796477304998
"Agpat5" "Hist1h3a" 0.647742592320358
"Agpat5" "Hoxa3" 0.647716269509768
"Agpat5" "Sash3" 0.647634743218336
"Agpat5" "Il2rg" 0.647559191567219
"Aldoc" "Rbpjl" 0.647530454702771
"Aldoc" "Zfp758" 0.647499644399171
"Agpat5" "Med16" 0.64743955257417
"Aldoc" "Gm3696" 0.647382853920574
"Aldoc" "Gja8" 0.647228537967346
"Aldoc" "Trib3" 0.647063368593206
"Agpat5" "Sap30l" 0.646961516965355
"Aldoc" "Myh14" 0.646936300103484
"Aldoc" "Nfe2l1" 0.646871328743915
"Aldoc" "Usp28" 0.64679224544424
"Agpat5" "Gcnt1" 0.646791787993809
"Aldoc" "Lipe" 0.646787452720393
"Agpat5" "Psg23" 0.646769237127664
"Aldoc" "Fam71b" 0.646677644679485
"Agpat5" "Ngrn" 0.646661816486964
"Agpat5" "Gm14320" 0.646635540258235
"Aldoc" "Tjp1" 0.64652883648685
"Agpat5" "Pstpip1" 0.646516830168077
"Agpat5" "Nfatc2" 0.646478961288521
"Aldoc" "Mta3" 0.646447034330005
"Aldoc" "Tril" 0.646326684599474
"Agpat5" "Ms4a6d" 0.646286826311173
"Agpat5" "Nrcam" 0.646201460482151
"Aldoc" "Mrpl47" 0.64612870992495
"Aldoc" "A430071A18Rik" 0.646059906305862
"Agpat5" "Tfr2" 0.646040026475596
"Agpat5" "Neu3" 0.645515815214991
"Agpat5" "Fcgr1" 0.645473526585558
"Aldoc" "Ccdc14" 0.645449837653289
"Agpat5" "Mak" 0.64540999460975
"Agpat5" "Vsnl1" 0.645379434058104
"Agpat5" "Slc22a13" 0.645330012801597
"Agpat5" "Slc9a9" 0.645207097123694
"Aldoc" "X4933405L10Rik" 0.645147061091898
"Agpat5" "Zc3h18" 0.645121631014398
"Aldoc" "Gm11605" 0.645093201661565
"Aldoc" "Angptl3" 0.645075010339835
"Agpat5" "Il2rb" 0.645043018042048
"Agpat5" "Rap1b" 0.645037855166787
"Aldoc" "Gm10825" 0.644977047861247
"Agpat5" "Slc6a12" 0.644862423948151
"Aldoc" "Sesn2" 0.644651527011799
"Aldoc" "Cdk20" 0.644623383492817
"Agpat5" "Gm2115" 0.644570084870711
"Aldoc" "Gm15696" 0.644548483253606
"Agpat5" "Selplg" 0.644416382032765
"Agpat5" "Fgd2" 0.644337724432775
"Agpat5" "Jund" 0.644309399471851
"Agpat5" "Gm14001" 0.644261098583573
"Agpat5" "Ctnna1" 0.644248204182657
"Agpat5" "Rheb" 0.644185785007476
"Agpat5" "X1110001J03Rik" 0.644112598155276
"Agpat5" "Scoc" 0.644087915219494
"Agpat5" "Gm16148" 0.644079989597628
"Aldoc" "Xrcc3" 0.644044056995177
"Aldoc" "Kdelc1" 0.644038707499453
"Agpat5" "Srsf9" 0.644001203464494
"Agpat5" "Slitrk6" 0.643990948659719
"Agpat5" "Angptl4" 0.64396723184393
"Agpat5" "Aldh1a1" 0.643883056199132
"Agpat5" "Gm9385" 0.643556343822745
"Aldoc" "Epn1" 0.643545355327534
"Agpat5" "Daglb" 0.643536055884711
"Agpat5" "Arhgap15" 0.643535381004037
"Aldoc" "Sfmbt2" 0.643518929890029
"Agpat5" "Gm10282" 0.643502344920132
"Aldoc" "Gm6139" 0.643497330921281
"Aldoc" "Pcsk6" 0.643446570142386
"Aldoc" "Gm13363" 0.643423012372225
"Agpat5" "Pappa2" 0.643396766284224
"Agpat5" "X2700060E02Rik" 0.643346269499626
"Agpat5" "A730085A09Rik" 0.643270540279492
"Agpat5" "Vav1" 0.643260686753747
"Agpat5" "Pcna.ps2" 0.643247699926106
"Agpat5" "Ppm1n" 0.643193235789187
"Agpat5" "Gm12840" 0.643169411565166
"Agpat5" "Ctss" 0.643094463750171
"Aldoc" "Adam6b" 0.643088407607138
"Aldoc" "Snora73a" 0.642969640715646
"Agpat5" "Fam49b" 0.64292397096709
"Aldoc" "Trav15n.1" 0.642875601703365
"Agpat5" "Wfdc6a" 0.642848222761697
"Agpat5" "Mob3a" 0.642788627143404
"Aldoc" "Tmcc1" 0.642514229338261
"Agpat5" "Ldoc1l" 0.642391252887943
"Agpat5" "Cryba4" 0.642387097561449
"Agpat5" "X1700024P16Rik" 0.642358277718421
"Agpat5" "Ttc36" 0.642271867251435
"Aldoc" "Traf3" 0.642143929204852
"Agpat5" "Arl13a" 0.642132057834435
"Aldoc" "Dcaf15" 0.642102145105194
"Agpat5" "C530005A16Rik" 0.642083535999446
"Aldoc" "Arid5b" 0.641858299350374
"Agpat5" "Irak3" 0.641796433710999
"Agpat5" "Gm13111" 0.641750716070708
"Agpat5" "Map6d1" 0.641712927281227
"Agpat5" "Slc30a7" 0.641710456748166
"Agpat5" "Abca2" 0.6416773081904
"Agpat5" "Ptprc" 0.641659136681856
"Agpat5" "A930015D03Rik" 0.641624329883464
"Aldoc" "Mrto4" 0.641543956668023
"Agpat5" "Srf" 0.641541534996941
"Agpat5" "Akr7a5" 0.641518743071056
"Aldoc" "X9330159M07Rik" 0.641513309571767
"Agpat5" "Ppp2r2b" 0.641454415236214
"Aldoc" "Gm8378" 0.641288610778993
"Aldoc" "Ccsap" 0.641275647656734
"Agpat5" "Camk2n1" 0.641194564779568
"Agpat5" "Trpc4ap" 0.641060053960773
"Agpat5" "Atp1a3" 0.641047173824802
"Agpat5" "Gm12850" 0.641001390571826
"Aldoc" "Sdhd" 0.640946334613073
"Agpat5" "Gm10343" 0.640892198167009
"Agpat5" "Samsn1" 0.640835636230004
"Aldoc" "X4833420G17Rik" 0.640768323125735
"Agpat5" "Trim8" 0.640646491254839
"Agpat5" "Sprr1a" 0.640600791836936
"Agpat5" "Pcyox1l" 0.640589405261541
"Agpat5" "H2.Eb1" 0.64058437614269
"Agpat5" "Trappc2" 0.640525439372495
"Aldoc" "Ccdc63" 0.640518342051108
"Agpat5" "Pilra" 0.640512052549588
"Agpat5" "Tshz2" 0.640496724011569
"Aldoc" "Gm16238" 0.640475984481949
"Agpat5" "Rexo1" 0.640349118371943
"Aldoc" "Nkap" 0.640186627844976
"Agpat5" "Zfp932" 0.640140599523117
"Aldoc" "Ptrhd1" 0.640133799189549
"Aldoc" "Sap30" 0.640113528304086
"Aldoc" "Sult2a7" 0.640098322728139
"Agpat5" "Ranbp10" 0.64009777395952
"Agpat5" "Cyth4" 0.640084836284761
"Agpat5" "Gm16505" 0.640067328537511
"Aldoc" "Heatr3" 0.640063306855742
"Aldoc" "Nup153" 0.63995020392837
"Agpat5" "Pip5k1a" 0.639891664811626
"Agpat5" "Ccdc88b" 0.639798018760202
"Aldoc" "Gm6421" 0.639773374329868
"Aldoc" "Gm6570" 0.639734446270792
"Agpat5" "Gm17020" 0.639729178477846
"Agpat5" "Rap1a" 0.639703464179766
"Aldoc" "Chic2" 0.639671499721957
"Agpat5" "Slc11a1" 0.639580310769257
"Agpat5" "Adcy7" 0.639566806247561
"Agpat5" "Gjb1" 0.639560942231504
"Agpat5" "Cd72" 0.639456431264358
"Aldoc" "Snrnp48" 0.639410881518455
"Agpat5" "Adgb" 0.639386312663874
"Agpat5" "Igkv3.4" 0.639127360736826
"Agpat5" "Slfn2" 0.639050504466436
"Aldoc" "Wtap" 0.638990691472621
"Aldoc" "Gm16280" 0.638866850488138
"Agpat5" "Nvl" 0.638851669449226
"Aldoc" "Rnf41" 0.638804688356194
"Agpat5" "Gm5106" 0.638710319539555
"Agpat5" "Gm17055" 0.638635948139247
"Aldoc" "Nts" 0.638515962954001
"Agpat5" "Rbbp8" 0.638461465523906
"Agpat5" "Gm15552" 0.638391662542911
"Aldoc" "Tmem37" 0.63838309807329
"Aldoc" "Leo1" 0.638370105873223
"Agpat5" "Gucy2g" 0.638307578017664
"Agpat5" "Gm26397" 0.638243347659492
"Agpat5" "Abcg1" 0.638232923892748
"Agpat5" "Igkv3.1" 0.638176531044848
"Aldoc" "Ptk2b" 0.638096529947702
"Agpat5" "Arhgap27" 0.638046652067167
"Agpat5" "Hk1" 0.638011802913241
"Aldoc" "Pcmtd2" 0.638003911214085
"Agpat5" "Fev" 0.637978027880558
"Agpat5" "Zbtb7a" 0.63796001146615
"Agpat5" "Cacna1c" 0.637922249362233
"Agpat5" "Igsf3" 0.637914510994677
"Aldoc" "Ces1d" 0.63790926894483
"Aldoc" "Gm13413" 0.637835848831044
"Agpat5" "Gpr132" 0.637785642179944
"Agpat5" "Asah1" 0.637723222315485
"Aldoc" "Hbq1a" 0.637677654858136
"Agpat5" "Stk11" 0.637632587374686
"Agpat5" "Maoa" 0.637613198085236
"Agpat5" "Gm10392" 0.637515665617028
"Aldoc" "Meig1" 0.637435185242134
"Agpat5" "X9930111J21Rik1" 0.637420019746992
"Aldoc" "Ipo4" 0.637382985388096
"Aldoc" "Stk19.ps1" 0.637274826243394
"Aldoc" "Rpl21.ps4" 0.637251486354573
"Agpat5" "Sptbn4" 0.63723767211413
"Agpat5" "Fam71f2" 0.637187629656475
"Aldoc" "Bet1l" 0.637140408318622
"Aldoc" "Gm17194" 0.637057586159618
"Agpat5" "Tppp3" 0.637055556233621
"Agpat5" "Gm10357" 0.637025960878036
"Agpat5" "Misp" 0.636971039339356
"Agpat5" "Lmod1" 0.636950763655768
